 "perf" , "place" , "placelabel" , "lat" , "long" , "yoc" ,
 "http://data.open.ac.uk/led/performance/http://led.kmi.open.ac.uk/item/music/Sonata+in+E+major+(op.+109)/1408110385159/1408110385163" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "37" ,
 "http://data.open.ac.uk/led/performance/035bce05c473202ccdcd619eca08d320/1451587180882" , "http://dbpedia.org/resource/Russia" , "Russia" , "55.7558" , "37.6172" , "34" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Beethoven's+Third+and+Fifth+symphonies/1431351646627/1431351646638" , "http://dbpedia.org/resource/Russia" , "Russia" , "55.7558" , "37.6172" , "36" ,
 "http://data.open.ac.uk/led/performance/e21eedf206f1faf0c850163a421c2734/1450353150908" , "http://dbpedia.org/resource/Russia" , "Russia" , "55.7558" , "37.6172" , "37" ,
 "http://data.open.ac.uk/led/performance/b7361880992f90afc7f7c739bdb1f7ce/1451587403555" , "http://dbpedia.org/resource/Russia" , "Russia" , "55.7558" , "37.6172" , "38" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Two+ballet+suites+'The+Golden+Age'+and+'Bolt'/1431351113385/1431351113397" , "http://dbpedia.org/resource/Russia" , "Russia" , "55.7558" , "37.6172" , "33" ,
 "http://data.open.ac.uk/led/performance/035bce05c473202ccdcd619eca08d320/1451587180882" , "http://dbpedia.org/resource/Russia" , "Russia" , "55.7558" , "37.6172" , "34" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Beethoven's+Third+and+Fifth+symphonies/1431351646627/1431351646638" , "http://dbpedia.org/resource/Russia" , "Russia" , "55.7558" , "37.6172" , "36" ,
 "http://data.open.ac.uk/led/performance/e21eedf206f1faf0c850163a421c2734/1450353150908" , "http://dbpedia.org/resource/Russia" , "Russia" , "55.7558" , "37.6172" , "37" ,
 "http://data.open.ac.uk/led/performance/b7361880992f90afc7f7c739bdb1f7ce/1451587403555" , "http://dbpedia.org/resource/Russia" , "Russia" , "55.7558" , "37.6172" , "38" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Two+ballet+suites+'The+Golden+Age'+and+'Bolt'/1431351113385/1431351113397" , "http://dbpedia.org/resource/Russia" , "Russia" , "55.7558" , "37.6172" , "33" ,
 "http://data.open.ac.uk/led/performance/Variations+for+Piano+(,+performance+of)/1388232554284" , "http://dbpedia.org/resource/Harvard_University" , "Harvard University" , "42.3744" , "-71.1169" , "38" ,
 "http://data.open.ac.uk/led/performance/Variations+for+Piano+(,+performance+of)/1388232554284" , "http://dbpedia.org/resource/Harvard_University" , "Harvard University" , "42.3744" , "-71.1169" , "38" ,
 "http://data.open.ac.uk/led/performance/2649f36f64b110803141a3b336fc0feb/1448909200574" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "37" ,
 "http://data.open.ac.uk/led/performance/45b791819bc9e65dc9716ed0668baa45/1446402530072" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "35" ,
 "http://data.open.ac.uk/led/performance/7da17eeccf4a97620753577a9ddd70e0/1446402725490" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "35" ,
